Model,Colour,Source,Serial
IGC 1959 Les Paul Standard,Factory Burst, ,25041525274
IGC 1959 Les Paul Standard,Factory Burst, ,25041525276
IGC 1959 Les Paul Standard,Factory Burst, ,25041525278
IGC 1959 Les Paul Standard,Factory Burst, ,25041525279
Sweetwater. Epiphone Les Paul Custom Electric Guitar,"Viper Blue, Sweetwater Exclusive",Sweetwater,25041525367
IGC 1959 Les Paul Standard,Factory Burst, ,25041526056
IGC 1959 Les Paul Standard,Factory Burst, ,25041526057
IGC 1959 Les Paul Standard,Factory Burst, ,25041526062
Sweetwater Epiphone Les Paul Custom Electric Guitar,"Viper Blue, Sweetwater Exclusive",Sweetwater,25041526562
Sweetwater. Epiphone Les Paul Custom Electric Guitar,"Viper Blue, Sweetwater Exclusive",Sweetwater,25041526567
Sweetwater. Epiphone Les Paul Custom Electric Guitar,"Viper Blue, Sweetwater Exclusive",Sweetwater,25041526594
Sweetwater. Epiphone Les Paul Custom Electric Guitar,"Viper Blue, Sweetwater Exclusive",Sweetwater,25041526596
Gem Archer Sheraton, Cherry Red,Ishibashi,25051511433
IGC 1959 Les Paul Standard,Deep Cherry Sunburst *Left-Handed*, ,25051524331
IGC Custom 1964 SG Standard,Unknown, ,25051525791
Epiphone Thunderbird '64 Bass Guitar,Silver Mist,Sweetwater,25051526070
Epiphone Dove Studio Acoustic-electric Guitar,Violin Burst ,Sweetwater,25052304163
Epiphone Dove Studio Acoustic-electric Guitar,Violin Burst ,Sweetwater,25052306237
Epiphone Dove Studio Acoustic-electric Guitar,Violin Burst ,Sweetwater,25052306992
Epiphone Dove Studio Acoustic-electric Guitar,Violin Burst ,Sweetwater,25052307026
Epiphone IBG J-200 Acoustic-electric Guitar,Aged Vintage Sunburst Gloss,Sweetwater,25052307454
Epiphone Inspired by Gibson (IBG) Hummingbird Acoustic Guitar,Aged Cherry Sunburst Gloss,Sweetwater,25061500317
Epiphone Inspired by Gibson (IBG) Hummingbird Acoustic Guitar,Aged Cherry Sunburst Gloss,Sweetwater,25061500322
Epiphone Inspired by Gibson (IBG) Hummingbird Acoustic Guitar,Aged Cherry Sunburst Gloss,Sweetwater,25061500388
Epiphone Inspired by Gibson (IBG) Hummingbird Acoustic Guitar,Aged Cherry Sunburst Gloss,Sweetwater,25061500439
Epiphone Inspired by Gibson (IBG) Hummingbird Acoustic Guitar,Aged Cherry Sunburst Gloss,Sweetwater,25061500446
Epiphone Inspired By Gibson Custom 1959 ES-355,Classic White, ,25061510746
Epiphone Casino,Vintage Sunburst Dogear PRO P-90 Pickups, ,25061510841
Epiphone Casino,Vintage Sunburst Dogear PRO P-90 Pickups, ,25061510981
Epiphone Inspired By Gibson Custom 1959 ES-355,Classic White, ,25061511365
Epiphone Inspired By Gibson Custom 1959 ES-355,Classic White, ,25061511366
Epiphone Inspired By Gibson Custom 1959 ES-355,Classic White, ,25061511368
Epiphone ES-335 Figured Semi-hollowbody,Blueberry Burst (Epiphone Original Collection),Sweetwater,25061511826
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25061512970
Epiphone ES-335 Figured Semi-hollowbody,Blueberry Burst (Epiphone Original Collection),Sweetwater,25061512989
Epiphone EB-3 Bass Guitar,Cherry,Sweetwater,25061520795
Epiphone EB-3 Bass Guitar,Cherry,Sweetwater,25061520806
Epiphone EB-3 Bass Guitar,Cherry,Sweetwater,25061521230
IGC Custom 1964 SG Standard,w/Maestro Vibrola, ,25061523265
Epiphone EB-3 Bass Guitar,Cherry,Sweetwater,25061523689
IGC 1959 Les Paul Standard,Factory Burst, ,25061524303
IGC 1959 Les Paul Standard,Factory Burst, ,25061524795
Epiphone Thunderbird E1 Bass Guitar $449.00,Vintage Sunburst,Sweetwater,25061527570
Epiphone Inspired by Gibson Custom Les Paul Custom, Ebony, ,25061527737
IGC Custom 1964 SG Standard,w/Maestro Vibrola, ,25061528150
Epiphone Blues King Studio Acoustic-electric Guitar,Ebony,Sweetwater,25062302342
From Sweetwater: Epiphone L-00 Studio Acoustic-Electric Guitar,Vintage Sunburst,Sweetwater,25062302425
IGC 1957 SJ-200 Reissue, Unknown, ,25071500745
Epiphone Casino Hollowbody Electric Guitar,Vintage Sunburst,Sweetwater,25071510533
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071510571
Epiphone Casino Hollowbody Electric Guitar,Vintage Sunburst,Sweetwater,25071510669
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071510715
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071510718
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071510806
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071510821
Epiphone ES-335 Semi-hollowbody Electric Guitar,Vintage Sunburst (original collection ),Sweetwater,25071510849
Epiphone ES-335 Semi-hollowbody Electric Guitar,Vintage Sunburst (original collection ),Sweetwater,25071510994
Epiphone ES-335 Semi-hollowbody Electric Guitar,Vintage Sunburst (original collection ),Sweetwater,25071510999
Epiphone ES-335 Figured Semi-hollowbody,Blueberry Burst (Epiphone Original Collection),Sweetwater,25071511013
Epiphone Casino Hollowbody Electric Guitar,Vintage Sunburst,Sweetwater,25071511310
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071511420
Epiphone ES-335 Semi-hollowbody Electric Guitar,Vintage Sunburst (original collection ),Sweetwater,25071511516
Epiphone Noel Gallagher Riviera,Dark Wine Red, ,25071511728
Epiphone Viola Bass,Vintage Sunburst,Sweetwater,25071511986
Epiphone ES-335 Semi-hollowbody Electric Guitar,Vintage Sunburst (original collection ),Sweetwater,25071512025
Epiphone Les Paul Custom Electric Guitar,Alpine White,Sweetwater,25071520492
Epiphone Les Paul Custom Electric Guitar,Alpine White,Sweetwater,25071521380
Epiphone Les Paul Custom Electric Guitar,Alpine White,Sweetwater,25071521384
Epiphone Les Paul Custom Electric Guitar,Alpine White,Sweetwater,25071521391
Epiphone Les Paul Custom Electric Guitar,Alpine White,Sweetwater,25071521807
Epiphone Thunderbird E1 Bass Guitar $449.00,Vintage Sunburst,Sweetwater,25071529957
Epiphone Thunderbird E1 Bass Guitar $449.00,Vintage Sunburst,Sweetwater,25071530466
Epiphone J-45 Studio Acoustic-electric Guitar,Natural,Sweetwater,25072300263
Epiphone J-45 Studio Acoustic-electric Guitar,Natural,Sweetwater,25072300322
Epiphone J-45 Studio Acoustic-electric Guitar,Natural,Sweetwater,25072300495
piphone J-45 Studio EC Acoustic-electric Guitar,Natural,Sweetwater,25072300897
piphone J-45 Studio EC Acoustic-electric Guitar,Natural,Sweetwater,25072301061
piphone J-45 Studio EC Acoustic-electric Guitar,Natural,Sweetwater,25072301110
Epiphone J-45 Studio EC Acoustic-electric Guitar,Vintage Sunburst $449,Sweetwater,25072301236
Epiphone J-45 Studio EC Acoustic-electric Guitar,Vintage Sunburst $449,Sweetwater,25072301401
Epiphone Blues King Studio Acoustic-electric Guitar,Dark Burst,Sweetwater,25072301564
Epiphone Blues King Studio Acoustic-electric Guitar,Dark Burst,Sweetwater,25072301664
Epiphone Blues King Studio Acoustic-electric Guitar,Dark Burst,Sweetwater,25072301705
Epiphone Blues King Studio Acoustic-electric Guitar,Dark Burst,Sweetwater,25072301776
Epiphone Blues King Studio Acoustic-electric Guitar,Dark Burst,Sweetwater,25072301813
Epiphone Blues King Studio Acoustic-electric Guitar,Ebony,Sweetwater,25072301881
Epiphone Blues King Studio Acoustic-electric Guitar,Ebony,Sweetwater,25072302008
Epiphone Blues King Studio Acoustic-electric Guitar,Ebony,Sweetwater,25072302063
Epiphone Blues King Studio Acoustic-electric Guitar,Ebony,Sweetwater,25072302110
Epiphone Hummingbird Studio EC Acoustic-electric Guitar,Heritage Cherry Sunburst,Sweetwater,25072303575
Epiphone Hummingbird Studio EC Acoustic-electric Guitar,Heritage Cherry Sunburst,Sweetwater,25072303584
Epiphone Hummingbird Studio EC Acoustic-electric Guitar,Heritage Cherry Sunburst,Sweetwater,25072303616
Epiphone Hummingbird Studio EC Acoustic-electric Guitar,Heritage Cherry Sunburst,Sweetwater,25072303718
Epiphone J-200 Studio EC,Vintage Sunburst, ,25072304497
Epiphone Jack Casady Signature Bass,Sparkling Burgundy,Sweetwater,25081510073
Epiphone Casino Hollowbody Electric Guitar,Natural,Sweetwater,25081510324
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25081528634
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25081528638
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25081529778
Epiphone J-200 Studio EC,Vintage Sunburst, ,25082304339
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25091511651
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25091511659
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25091511785
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25091511787
"Epiphone Les Paul Custom Quilt Cobra Burst, Sweetwater Exclusive , , , Epiphone 1962 Gibson ES-335 Reissue Semi-hollow Electric Guitar",'60s Cherry,Sweetwater,25091512041
Epiphone Viola Bass,Vintage Sunburst,Sweetwater,25091512290
Epiphone Viola Bass,Vintage Sunburst,Sweetwater,25091512294
Epiphone Viola Bass,Vintage Sunburst,Sweetwater,25091512546
Epiphone Viola Bass,Vintage Sunburst,Sweetwater,25091512554
"Epiphone Jerry Cantrell ""Wino"" Les Paul Custom Electric Guitar",Wine Red,Sweetwater,25091524193
"Epiphone Jerry Cantrell ""Wino"" Les Paul Custom Electric Guitar",Wine Red,Sweetwater,25091524628
"Epiphone Jerry Cantrell ""Wino"" Les Paul Custom Electric Guitar",Wine Red,Sweetwater,25091526231
Epiphone 1960 Les Paul Special Double Cut Reissue Electric Guitar,TV Yellow,Sweetwater,25091526429
Epiphone 1960 Les Paul Special Double Cut Reissue Electric Guitar,TV Yellow,Sweetwater,25091526942
Epiphone 1960 Les Paul Special Double Cut Reissue Electric Guitar,TV Yellow,Sweetwater,25091526956
Epiphone SG Custom Electric Guitar,"Viper Blue, Sweetwater Exclusive",Sweetwater,25091527481
Epiphone 1963 Firebird V Left-handed Electric Guitar,Polaris White,Sweetwater,25091528109
Epiphone 1963 Firebird V Left-handed Electric Guitar,Polaris White,Sweetwater,25091528113
Epiphone EB-3 Bass Guitar,Ebony,Sweetwater,25091528144
Epiphone 1960 Les Paul Special Double Cut Reissue Electric Guitar,TV Yellow,Sweetwater,25091528721
Epiphone 1960 Les Paul Special Double Cut Reissue Electric Guitar,TV Yellow,Sweetwater,25091528758
Inspired by Gibson J-45 EC,Aged Vintage Sunburst Gloss,Kurosawa Gakki,25092300376
Epiphone Masterbilt TEXAN,Aged Antique Natural ,Kurosawa Gakki,25102301497
Inspired by Gibson Custom 1957 SJ-200 Reissue,Antique Natural,Kurosawa Gakki,25091500863
Inspired by Gibson Custom 1957 SJ-200 Reissue,Vintage Sunburst,Kurosawa Gakki,25101500232
Inspired by Gibson Custom 1963 Dove Reissue,Natural,Kurosawa Gakki,25101500082
Epiphone  Inspired by Gibson Custom 1960 Les Paul Standard Reissue,Washed Cherry Sunburst,Kurosawa Gakki,24121524110
Epiphone  Inspired by Gibson Custom 1960 Les Paul Standard Reissue,Iced Tea Burst,Kurosawa Gakki,24121523047
Epiphone Les Paul Custom,Ebony,Kurosawa Gakki,25071524397
Epiphone Bonehead Riviera Electric Guitar,Dark Tobacco Sunburst,Kurosawa Gakki,25091512393
Epiphone Inspired by Gibson 1957 SJ-200,Vintage Sunburst,Kurosawa Gakki,25091500400
Epiphone Broadway,Wine Red,Kurosawa Gakki,25101510652
Epiphone Casino,Natural,Kurosawa Gakki,25041510446
Epiphone IBG ES-335,Vintage Sunburst,Kurosawa Gakki,25091512021
Epiphone Inspired by Gibson Custom 1959 Les Paul Standard Reissue,Deep Cherry Sunburst,Kurosawa Gakki,24121522443
Epiphone IBG ES-335 ,Sunburst,Kurosawa Gakki,25021511995
Epiphone Broadway,Vintage Sunburst,Kurosawa Gakki,23021511248
Epiphone Inspired by Gibson Custom Les Paul Custom,Alpine White,Kurosawa Gakki,25021530183
Epiphone IBG ES-335,60s Cherry,Kurosawa Gakki,25091510996
Epiphone Kirk Hammett Greeny 1959 Les Paul Standard,Greeny Burst,Kurosawa Gakki,25061525479
Epiphone Les Paul Standard 50s,Figured Bourbon Burst,Kurosawa Gakki,24121523550
Epiphone IGC Les Paul Custom,Ebony,Kurosawa Gakki,24111529809
Epiphone IGC Les Paul Custom,Washed Bourbon Burst,Kurosawa Gakki,24121526355
Epiphone IGC ES-335,Raspberry Tea Burst,Kurosawa Gakki,25091511895
Epiphone Inspired by Gibson Custom 1960 Les Paul Standard Reissue,Iced Tea Burst,Kurosawa Gakki,24121525774
Epiphone ES-339,Vinatage Sunburst,Kurosawa Gakki,25071510350
Epiphone Les Paul Modern Figured,Purple Burst,Kurosawa Gakki,25051524730
Epiphone IGC 1962 ES-335 Reissue,Vintage Burst,Kurosawa Gakki,25091510868
Epiphone SG Tribute Plus,Cherry Burst,Kurosawa Gakki,25082350772
Epiphone Inspired by Gibson Custom 1957 Les Paul Goldtop Reissue,Double Gold,Kurosawa Gakki,25021529032
Epiphone Casino,Natural,Kurosawa Gakki,25071510375
Epiphone IGC ES-335,Cherry,Kurosawa Gakki,25091510992
Epiphone Mastertone Classic Banjo,Natural,Coda Music,24011303890
Epiphone Les Paul Special,TV Yellow,Coda Music,23061520216
Epiphone Waxx Nighthawk Studio,Pelham Blue,Coda Music,23081522916
Epiphone Broadway,Vinatage Sunburst,Coda Music,23031510075
Epiphone Les Paul Standard 50s,Washed Cherry Sunburst,Coda Music,25051520440
Epiphone Les Paul Standard 50s,Classic White,Coda Music,25071524534
Epiphone IGC ’63 Firebird I,Inverness Green,Reverb,23091529142
Epiphone IGC Limited Edition ’58 Korina Explorer Reissue,Aged Natural,Reverb,24011525486
Epiphone BB King Lucile ,Ebony,Reverb,“08111505334”
Epiphone Nancy Wilson Fanatic Nighthawk ,Fireburst,Reverb,22071534703
"Epiphone Joe Bonamassa Signature ""Lazarus"" '59 Les Paul Standard",Natural,Reverb,21071530612
Epiphone Uptown Kat,Topaz Gold Metallic,Reverb,19101533027
Epiphone Ltd. Ed. Thommy Thayer “Electric Blue Signature Les Paul,Electric Blue,Reverb,22121520130
Epiphone Broadway,Wine Red,Reverb,23031510973
Epiphone Masterbilt Century Collection Olympic,Violin Burst ,Reverb,16092301540
Epiphone Mastertone Classic Banjo,Natural,"Jim Laabs Guitars, Stevens Point, WI, United States",24031308142
Epiphone Dove Studio,Violin Burst ,Dexx Audio UK,22032302547
Epiphone EJ-200,Natural,Reverb,1006231813
Epiphone J-200EC Studio,Natural,Reverb,22022300859
Epiphone FT-79  Inspired by Texan,Antique Natural,Reverb,12102309063
Epiphone IBG J-45EC,Vintage Sunburst,Vintage Strings And Musical Instrument Co. USA,20122306693
Epiphone Hummingbird Pro FC,Cherry Sunburst,"Music all inclusive, Mexico",19092305204
EJ 200 SC,Unknown,Forum,140923 099XX
Masterbilt Century DeLuxe (Roundhole),Unknown,Forum, 16 11 23 006XX
Masterbilt Century DeLuxe (Classic),Unknown,Forum,170523031XX
Masterbilt Century Zenith,Unknown,Forum,17 0623 011XX
Limited Edition EL00,MA,Forum,17 10 23 027XX
Joe Pass Emperor II Pro,Unknown,Forum,180323017XX
EJ 200 Coupe,Unknown,Forum,190523055XX
Masterbilt FJ79 Texan,Unknown,Forum,191223088XX
Masterbilt DR500,MCE,Forum,200523 043XX
Masterbilt FT120 Excellente,Unknown,Forum,211023134XX
Performer PR5e,Unknown,Forum,21 04 23 020XX
Inspired By Gibson J200,Unknown,Forum,22 01 23 054XX
150th Anniversary Zephyr Regent,Unknown,Forum,221223503XX
Epiphone DR-100 ,VS,Auction catalogue (UK),15041306932
Epiphone J-45 Studio,,Auction catalogue (UK),21082308548
Epiphone ES-335 Dot,Natural,Auction catalogue (UK),13042309358
Epiphone Masterbilt TEXAN,,Auction catalogue (UK),20092308631
